,m,c
UDR,0.0037807687825196445,11.241452043972538
UHS,0.01811521012998815,-9.021575753461573
ULTA,0.07446978813727793,-248.33877504949152
UNH,0.028386112216401332,-26.869084915529577
UNP,0.020291339593296393,-17.746435711457288
UPS,0.00808501780264179,50.337448094372974
URI,0.017448984966024244,-14.527130263378782
USB,0.004364473240605716,17.38875362130476
V,0.035751704807370256,-120.77294677454721
VFC,0.010974482543459028,-7.568543398706047
VIAC,0.009079732035314501,-4.785241186366364
VLO,0.010181720136878191,2.112131206194931
VMC,0.010026947028338316,32.8155425289314
VNO,0.006579443569673629,34.28374678238812
VRSK,0.029349920644532873,-88.42114049609818
VRSN,0.01075195957710697,19.211536751475002
VRTX,0.01977112731864184,-9.63027893673452
VTR,0.009289792200117775,13.03477222369377
VTRS,0.004334356634585696,9.734346713942859
VZ,0.0024432383054018344,32.058866500613085
WAB,0.013699643585625252,-12.15015474327288
WAT,0.023524324169204438,1.5538682973844888
WBA,0.006344520574029759,25.128679633464166
WDC,0.011657824606294092,-5.33754146603722
WEC,0.009337071385327734,-0.44101085506046994
WELL,0.008184653157682704,18.376413757555802
WFC,0.004807896751340359,18.308311784647163
WHR,0.017249797616862333,36.44850570233318
WLTW,0.012438745193208988,56.785397334382345
WM,0.009038335898583306,10.082767570692136
WMB,0.0026408766843597628,14.808065353391706
WMT,0.006239325928007969,40.562060041281995
WRB,0.006761592873682627,-0.3563065431792916
WRK,-0.002411436516087204,63.75547863672363
WST,0.014398428070677123,-16.403128084988325
WU,7.12084677066908e-05,18.561150954389923
WY,-0.005585310625460406,63.49189657734369
WYNN,0.01802593382139189,23.981197758431712
XEL,0.004528976070232626,11.500672321820886
XLNX,0.005301455359126292,22.75130831190572
XOM,0.007246254955632429,42.81916904601148
XRAY,0.006383713316199777,12.719979325435515
XYL,0.020656586866212925,-73.23901260645691
YUM,0.012246158505353351,-7.004026097368422
ZBH,0.011962815602409185,31.931260931586777
ZBRA,0.016471745595582492,-2.300644884691475
ZION,-0.003858734598257729,57.12269620226917
ZTS,0.035173345202687695,-152.6615122667948
